137,Ikan Terbang,ikan_137.webp,K
138,Cendro,ikan_138.webp,K
139,Ikan Terbang,ikan_139.webp,K
140,Tetengkek,ikan_140.webp,K
141,Talang-Talang,ikan_141.webp,K
143,Sembilang,ikan_143.webp,K
144,Remang Putih,ikan_144.webp,K
145,Ikan Terbang,ikan_145.webp,K
147,Lemadang,ikan_147.webp,K
148,Ikan Lidah,ikan_148.webp,K
150,Ikan Terbang,ikan_150.webp,K
152,Layang Benggol,ikan_152.webp,K
153,Layang Anggur,ikan_153.webp,K
154,Layang Deles,ikan_154.webp,K
155,Belanak,ikan_155.webp,K
156,Selar Bentong,ikan_156.webp,K
158,Tembang,ikan_158.webp,K
159,Tembang,ikan_159.webp,K
160,Tembang,ikan_160.webp,K
161,Selar Komo,ikan_161.webp,K
162,Selar Hijau,ikan_162.webp,K
163,Selar Kuning,ikan_163.webp,K
164,Selar Mulut Putih,ikan_164.webp,K
165,Baji-Baji Sebra,ikan_165.webp,K
167,Bawal Hitam,ikan_167.webp,K
168,Kuro,ikan_168.webp,K
169,Lencam,ikan_169.webp,K
170,Belanak,ikan_170.webp,K
171,Belanak,ikan_171.webp,K
172,Peperek Lainnya,ikan_172.webp,K
173,Tembang,ikan_173.webp,K
174,Layang,ikan_174.webp,K
175,Bulu Ayam,ikan_175.webp,K
176,Bangkok,ikan_176.webp,K
177,Kuwe,ikan_177.webp,K
178,Galeberan,ikan_178.webp,K
179,Belanak,ikan_179.webp,K
180,Gemprang,ikan_180.webp,K
181,Layur,ikan_181.webp,K
182,Bawal Putih,ikan_182.webp,K
183,Talang-Talang,ikan_183.webp,K
184,Kuwe,ikan_184.webp,K
185,Gulamah,ikan_185.webp,K
188,Manyung,ikan_188.webp,K
189,Alu-Alu,ikan_189.webp,K
191,Talang-Talang,ikan_191.webp,K
193,Kakap Sejati,ikan_193.webp,K
194,Kakap Jenaha,ikan_194.webp,K
196,Asuan,ikan_196.webp,K
197,Lencam,ikan_197.webp,K
198,Baronang Lada,ikan_198.webp,K
199,Kea-Kea,ikan_199.webp,K
200,Baronang,ikan_200.webp,K
202,Kerapu Lumpur,ikan_202.webp,K
203,Baronang Lingkis,ikan_203.webp,K
205,Lolosi Biru,ikan_205.webp,K
206,Gajih,ikan_206.webp,K
207,Alu-Alu,ikan_207.webp,K
208,Pisang-Pisangan,ikan_208.webp,K
209,Triger Kembang,ikan_209.webp,K
211,Kerapu Balong,ikan_211.webp,K
212,Kerapu Karang,ikan_212.webp,K
213,Napoleon,ikan_213.webp,K
214,Kerapu Keabuan,ikan_214.webp,K
215,Gorara,ikan_215.webp,K
216,Kerapu Balong Coklat Kemerahan,ikan_216.webp,K
217,Kepe-kepe,ikan_217.webp,K
218,Kerong-Kerong,ikan_218.webp,K
219,Kerong-Kerong Padi,ikan_219.webp,K
220,Belanak,ikan_220.webp,K
221,Ketang-Ketang,ikan_221.webp,K
222,Jinaha,ikan_222.webp,K
223,Gorarafuro,ikan_223.webp,K
224,Ikan Merah,ikan_224.webp,K
225,Kuro,ikan_225.webp,K
227,Mala,ikan_227.webp,K
229,Kerisi,ikan_229.webp,K
230,Gurisi,ikan_230.webp,K
231,Mala,ikan_231.webp,K
232,Gorara Gigi,ikan_232.webp,K
233,Kakap Merah,ikan_233.webp,K
234,Gajah,ikan_234.webp,K
235,Kakap Hitam,ikan_235.webp,K
236,Pinjala,ikan_236.webp,K
237,Bambangan Coklat Kemerahan,ikan_237.webp,K
238,Bambangan,ikan_238.webp,K
239,Krapu Abu-Abu Noda Putih,ikan_239.webp,K
240,Krapu,ikan_240.webp,K
241,Krapu,ikan_241.webp,K
242,Paralolosi,ikan_242.webp,K
243,Balong Enam Ban Melintang,ikan_243.webp,K
244,Kerapu Batik,ikan_244.webp,K
245,Lanpulimalao,ikan_245.webp,K
246,Kapas-Kapas,ikan_246.webp,K
247,Kelalah,ikan_247.webp,K
